業界,概要文
高齢者向け福祉業界の会社,サービス付きの高齢者向け住宅や有料老人ホームなどの運営を中心に、デイサービスの介護も行っている。またこの他にも居宅介護支援もしており、自宅での介護についての相談や訪問介護にも対応。その他、介護施設の運営に関するセミナーも行っている。
人材紹介業界の会社,女性向けの求人サイト「GLOBAL STAFF」の運営を行う。また、人材派遣や紹介予定派遣も手掛ける。派遣の対象は事務や印刷物編集、CAD設計およびデモンストレーション等がある。
マンション・アパート賃貸業界の会社,不動産賃貸・売買の仲介業務を行い、デザイナーズ物件も取り扱う。2店舗のうち1店舗は「ピタットハウス」の加盟店で、様々な情報から物件探しが可能。また、日本社宅サービス株式会社の認定店で、社宅探しの情報を提供する。
ホテル・旅館業界の会社,「ビジネスホテルグリーンチェーン仙台」や「ホテルグリーンパーク」などのホテルの運営を手掛ける。また、「ホテル プレミアムグリーンプラス」なども展開する。和洋の朝食バイキングの提供を行っている点が特徴。
自動車部品・カー用品製造業界の会社,乗用車やトラックに使用されるパワーステアリングやエンジン、ミッション等に用いる部品の製造を行う。主に鉄・アルミ・ステンレス等の材質を使用しており、冷間鍛造による素材加工から精密機械加工まで一貫生産体制をとっている点が特徴。
食品店業界の会社,精肉の販売を行っており、自社のホームページで販売している。また、病院などへの精肉の卸売も手がける。加えて、惣菜やお歳暮、おせちの販売にも対応。
金属部品製造業界の会社,自動車部品等に用いられる精密バネや特殊バネの製造及び加工、並びに販売を手掛ける。特に製品制度や生産スピード、量産性に優れるフォーミング成形加工を得意とし、鉄をはじめ真鍮、銅やステンレスといった様々な加工材料に対応。また、自動車部品以外にも洗濯機の配管ホース止め等の家電用部品の製造も行う。
食品店業界の会社,通信販売サイト「おおしま屋」を運営し、契約農家から送られてきた果物や野菜、スイーツおよび馬刺しなどの食品の販売を手掛けている。また、通信販売やテレマーケティングに関するコンサルティングも請け負う。
金属部品製造業界の会社,富山県富山市に本社を置き、軸受保持器の製造および販売を行っている。製品には、「ラジアルボール軸受保持器」「球面ころ軸受保持器」「円錐ころ軸受保持器」などがある。
中古車販売業界の会社,中古車をターゲットとしたオークション会場の運営を行っている会社。参加者は、古物商許可証保有など一定の条件をクリアした会員限定。また、Webからでもオークションに参加が可能である。オークションに特化している点が強み。
ホテル・旅館業界の会社,北海道網走市にて、リゾートホテル「あばしり湖鶴雅リゾート」の運営を行う。ラウンジバーや図書室およびシガ―ルームの他、バーやパーティールームなどを備える。また、大浴場やエステサロンなどにも対応。
高齢者向け福祉業界の会社,訪問介護事業所「ヘイセイホームヘルプステーション」を運営し、高齢者への介護事業を手掛ける。介護保険の範囲のサービスを中心に、入浴支援を含めた訪問介護、及び車いす、歩行器など福祉用用具の貸与や販売を行う点が特徴。さらに、介護タクシーによる病院の通院、買い物などにも対応する。
美容サロン業界の会社,ヘアサロン「anfeel*shibuya」「Deseo hair」などの運営を手掛ける。主に、ヘアカットやメイク、ネイルおよびまつげエクステ、着付けサービスの提供を行う。また、海外展開として、米国や香港でのヘアサロンの運営にも取り組む。
自動車部品・カー用品製造業界の会社,プレス加工および精密金型設計製作などを行う。自動車関連部品や家電関連部品の製作、試作品などの少量生産にも対応する。自動車関連部品では板バネやシリンダー、家電関連部品ではコードキーパーなどを製作している。
ホテル・旅館業界の会社,「ホテルニューアワジ プラザ淡路島」の運営を行っており、宿泊サービスの他に温泉やアロママッサージサービスなども備えている。また、淡路島で挙式を行えるウェディングサービスも提供しており、会場や料理提供、ドレスの貸出を行う。
ゴルフ場業界の会社,ゴルフ場「ブリヂストンカンツリー倶楽部」の運営を行う。メンバーに加え、ゲストの利用にも対応しており、オープンコンペなども手掛ける。また、初回利用者向けの、ラウンド体験割引制度を導入している点は特徴。
マンション・アパート賃貸業界の会社,福岡県を中心に中古マンションや中古戸建、新規戸建てなどの幅広い物件を取り扱っている。また法人向け物件やペット可物件など、さまざまな条件にも対応可能。空き家の運用事業や貸しコンテナ事業も行う。
マンション・アパート賃貸業界の会社,主に不動産賃貸の仲介を行っており、学生・シングル向け物件、ファミリー向け物件を多く取り扱っている会社。初期費用分割払いや連帯保証人不要・ルームシェア可などの条件でも相談出来るのが特徴である。また、他社の不動産屋の管理物件の紹介もしている。
美容サロン業界の会社,美容室「R.graunt’s」「HAIR vita」などの運営を手掛ける。また、ネイルサロン「VALETTA Beauty」「ココネイル」を運営する。さらに、まつげエクステを行う「RIN」を展開する。
マンション・アパート賃貸業界の会社,溝の口駅エリアの賃貸仲介や不動産売買などを行う。駐車場管理や賃貸管理業務代行、土地活用等の不動産コンサルティングも手掛ける。
タクシー業界の会社,奈良県橿原市で、タクシー業を行う会社。英語を話せる乗務員も在籍し、観光タクシーや観光スポットめぐりとしての利用に対応している。またケアドライバーも在籍しており、介護タクシー業も請け負う。
金属部品製造業界の会社,冷間成形コイルばねやスプリングの設計、開発および製造を手掛けている。
金属部品製造業界の会社,主にダイカスト金型用ピンとして使用される押出しピンやコアピンなどの製造を行う。また、自社開発製品の「ハイブリッドコアピン」の製造を行っており、素材から一貫した製造を手掛ける。その他に特殊鋼加工や精密旋盤加工といった精密機械加工を行う。
人材紹介業界の会社,主に製造業などへ人材派遣事業を行なっている。事前教育や作業手順書に沿って現地現物での明確な作業指導など産業教育を行なっているのが特徴である。また派遣契約書や人材配置、採用業務などの人材サービスに対応する他、外国籍労働者のサポートにも対応をしている。
高齢者向け福祉業界の会社,ケアプランの作成などを行う居宅介護支援施設｢アイルケア｣や有料老人ホームの運営を行う。また、普通食やカロリー調整食および低たんぱく食などの高齢者向け配食サービス｢まごころ弁当｣も運営する。その他、はりやきゅうおよびマッサージを行う訪問治療｢からだ元気治療院｣の運営も手掛ける。
マンション・アパート賃貸業界の会社,「本陣パレス彦三」「本陣ロイヤルハイム」等の賃貸管理および仲介を行っている。また、マンションやテナントの賃貸を手掛ける。その他、建築工事の設計および施工、監理等を請負う。
ホテル・旅館業界の会社,リゾートホテル「ラディソン成田」の運営を手掛ける。レストランや宴会場および会議室を備えるほか、スポーツジムおよび屋内外プールやゴルフ練習場等も設ける。成田空港や成田市内への無料シャトルバスや東京駅への有料バスの運行も行う。
居酒屋・バー業界の会社,「鮮魚とおばんざい」など。名古屋市内の和食居酒屋やイタリアンバル、焼肉店や串カツ店などを運営している。食材を生産者から直接仕入れていることが特徴である。その他に、飲食店の内装デザイン等のプロデュース業務や他店へのコンサルティング業務も手がけている。
ゴルフ場業界の会社,ゴルフ場「満濃ヒルズカントリークラブ」の運営を行う。また、クラブハウスにはゴルフ練習場やレストランおよびメンバーズサロンなどが設置されている。さらに、ゴルフクラブやシューズのレンタルも手掛けている。
タクシー業界の会社,東京都内最大手タクシー無線グル―プ東京無線所属のタクシー会社である。保有車両の半数以上がハイグレード車で、全車両にドライブレコーダーを搭載している。接客サービスに注力し、観光タクシーやプレママ安心タクシーなど新たなサービス展開も行っている。
警備業界の会社,イベントや工事現場などにおける警備業を行っている。また、店内巡回や店内警備などの保安事業も手掛ける。
自動車部品・カー用品製造業界の会社,NC複合型旋盤をはじめとする精密加工技術により、トヨタの自動車部品やメカトロニクス部品の加工など精密小物部品の製造を手掛ける。三次元測定器や真円度測定器、インライン自動計測機などによるデータに基づいた品質管理を行い、海外向けの製品も取り扱う。
警備業界の会社,機械警備や警備輸送、常駐警備などのセキュリティサービスを展開している。個人向けには、留守中の家から在宅中、外出中の家族の見守りなどを請け負う。法人向けには、オフィスの防犯管理や情報漏えい防止などの安全対策を請け負っている。
ホテル・旅館業界の会社,長崎自動車株式会社の子会社として、「国民宿舎 青雲荘」の運営を行っている。雲仙小地獄温泉に位置し、源泉を使用した露天風呂や貸切風呂などの小地獄温泉館の運営も手掛ける。また、「長崎和牛と旬彩会席」「旬彩御膳 」等の夕食プランや宿泊宴会プラン等を提供。その他、日帰りバスツアーやイベント開催にも取り組む。
高齢者向け福祉業界の会社,デイサービス施設「デイサービスあくた」を運営し、高齢者の機能訓練や介護を手がける。常駐の機能訓練指導員を配置し、個人に合ったプログラムを行う。そのほかに、高齢者へのもみほぐしや物理療法などのサービスにも対応している。
タクシー業界の会社,沖縄県島尻郡を拠点に、ペンギンタクシーグループの一員として、タクシーの運行を手掛ける。
金属部品製造業界の会社,新潟市において、自動車部品および精密部品の板金加工を手掛ける。また、切断や穴あけ加工および溶接加工などにも対応する。
美容サロン業界の会社,ヘアカットやヘアセット、着付けやメイクおよびフェイシャルエステを提供する。また、ボディエステやネイルの施術および婚礼支度などにも対応。その他、各店舗にて美容グッズや美容用品の販売を行う。
ホテル・旅館業界の会社,瀬戸内海大崎上島でホテルの運営を手掛けている。また、宴会場や結婚式場の運営も行う。
居住用リフォーム業界の会社,材料の選定から仕入れ、施工まで全て自社で行う住まいのリフォーム専門会社である。大阪の他に和歌山、奈良、滋賀、京都に店舗を展開する。全面リフォームから水回り等の部分リフォームまで請け負っている。特定のメーカー系列店ではない為、顧客希望により全メーカーの仕入れが可能。
保険代理店業界の会社,個人向けに生命保険や損害保険の販売を行っている。また資産形成や資産運用などのコンサルティングを行う他、「家計とほけん」の店舗運営も行う。また法人向けには財務や資産運用などのコンサルティングや、従業員向けのマネーセミナーも手掛ける。
高齢者向け福祉業界の会社,地域密着型の通所介護を主として行う「デイサービスほおのき」を運営する。また、通いを中心に自宅訪問や宿泊を組み合わせた介護および看護を行う「小規模多機能ホームなぎのき」の他、予防デイサービスなどを行う「デイサービスセンター元気の里 山之口館」も運営している。
高齢者向け福祉業界の会社,介護保険を利用した訪問介護や高齢者の見守りなど福祉サービスをメインに行う。高齢者支援住宅や老人ホーム選びのサポート、連携医療機関への紹介にも対応。その他、訪問型マッサージおよび鍼灸施術などのサービスも行っている。
タクシー業界の会社,普通車によるタクシーサービスを提供している。「長崎観光モデルコース」や「タクさるくコース」といった観光プランを取り扱う。複数人に合わせたワゴンやバン型の車種での予約依頼も受け付けている。
金属部品製造業界の会社,プラント向けのタービン・コンプレッサ用の車室ボルトやナットおよび産業機械用のねじ付きシャフトなど精密ネジ製品の製造を主に行う。その他、建設機械用部品やスタッドボルト、キャップナットなどの製造も手掛ける。
金属部品製造業界の会社,圧延ロール用部品をはじめとする製鉄用機械部品の製造を行う。また、精密機械部品の加工および組立も手掛ける。さらに、熱処理や表面処理、ステライト硬化肉盛などの二次加工にも対応。縦型ターニングセンタやCNC旋盤、5軸マシニングセンタなどの設備を有する。
高齢者向け福祉業界の会社,久留米市内で事業所を展開し、有料老人ホームやデイサービス事業所、居宅介護支援事業所などを運営している。また、認知症対応型共同生活介護施設「グループホーム銀の庵」の運営や訪問看護、さらに療養型通所介護なども行う。
自動車部品・カー用品製造業界の会社,軟質ウレタン、発泡ポリエチレンなどで自動車部品などを製造、販売している会社である。各種クッション材、断熱材及び梱包材などを扱っており、自動車部品だけでなく家具や電子部品なども提供。さらにくり抜き加工にも対応しており、難燃部材、蓄冷材や断熱建材なども手掛けている。
自動車部品・カー用品製造業界の会社,主に自動車、オートバイの金属製部品に対しショットブラストや様々な化成表面処理法による表面加工を請け負う。塗装に関しては、高耐候性カチオン電着黒塗装、排気系部品耐熱塗装、アルミおよびマグネシウム製外観部品塗装を行う。
タクシー業界の会社,明治グループの企業で、一般タクシーや観光タクシー運行を行っている。なお、グループには明治自動車株式会社を始めとして、鳳自動車株式会社やガス事業を行う明治モーターガスがある。
警備業界の会社,警備業を手掛け交通警備や施設警備およびイベント会場などの警備を行っている。また有料道路にて料金の収受業務も手掛ける。さらに、道路清掃車にて一般国道などの清掃を請負う。その他、伐採および除草業務も展開。
タクシー業界の会社,鎌倉と伊豆および葉山でタクシーの運行を行っている。電動リフトを備えた「福祉タクシー」や9人乗りの「ジャンボタクシー」を運行する。また、成田および羽田空港への送迎や乗務員がタクシーでおつかいを行う「おつかいタクシー」、運営代行サービスなどを提供している。
食品店業界の会社,静岡県富士市・沼津市など東部エリアにて、牛肉や豚肉、魚および野菜などの夕食用食材の配達を行う。カタログから好みのメニューが選択でき、その日使う分だけの食材を毎日配達する点が特徴。また、電力自由化に伴い、ミツウロコグリーンエネルギーの電力供給による、ヨシケイ電気を販売する。
タクシー業界の会社,タクシーサービスを行っており、小型や中型タクシーおよびジャンボタクシーによる送迎や観光タクシーのサービスを行う。またハイヤーや介護および福祉タクシーのサービスに加えて、小物や書類などを配送する便利屋タクシーのサービスも行っている。「全国タクシーアプリ」で配車可能である点が特徴。
ホテル・旅館業界の会社,大阪府大阪市中央区で道頓堀ホテルを経営しているほか、中華料理宴会場の運営も行う。外国人観光客の方向けに日本文化体験イベントを日替わりで行っており、日本文化とおもてなしを体験できるホテルとしている。イスラム教徒の顧客には礼拝用のキブラと絨毯を貸すなどの配慮も行っている。
ホテル・旅館業界の会社,ホテルニューオータニグループの「ホテルイタリア軒」の運営を行う。結婚式場や宴会場の運営を手掛ける。また、会議室の貸し出しや日本料理店、洋食料理店などの運営も展開。その他、バーやすし料理店の運営にも対応。さらに、ギフトの販売や土産物店の運営も行う。
ホテル・旅館業界の会社,"住友不動産100％出資のもと、東京都心を中心に、宿泊特化型ホテル及びリゾートホテルを展開している。2020年までに羽田空港と有明に計2,500室を備える2つのホテルの開業を予定しており、事業展開に意欲的。また他にも、貸会議室の運営・管理も行っている。"
ホテル・旅館業界の会社,茨城県北茨城市にて、観光ホテル「五浦観光ホテル」を運営している。館内には太平洋を見下ろしながら食事をすることができるレストラン「椿」があり、和洋食の料理を提供している。また、海を眺めながら入ることのできる源泉かけ流しの露天風呂や大浴場、貸切風呂などがあることが特徴。
居酒屋・バー業界の会社,居酒屋のチェーン店や焼肉店、回転すし店や和食店、カラオケ店など様々な飲食業を運営する。また、「キャンドゥ」「大戸屋」などをFC店として展開する。その他、自社が所有する不動産の管理や高齢者向け住宅の運営、訪問介護も手がける。
人材紹介業界の会社,簡単な業務から専門業務まで、幅広い人材を派遣および紹介している。製造・物流・医療・福祉・建築・研究・分析職・設備の監視業務など扱っている案件は多様である。ハローワークの情報を会社の端末と連動させているため、さらに多くの案件を提供することを可能にしている。
高齢者向け福祉業界の会社,グループホーム「アムール」と、サービス付きの高齢者向け住宅「リーブル」を運営しており、利用者のプライベートを守る間取りが特徴。バリアフリーの完備にも注力しており、常時利用できるヘルパーコールも設置している。施設内の食事は土井勝料理学校が提供する。
ホテル・旅館業界の会社,静岡県伊豆熱川温泉で、リゾートホテルを運営している。個人客を中心に、家族向けや子供向け等の宿泊プランを提案しているのが特徴。他にも「ほたる鑑賞の夕べ」など、季節ごとにイベントを行っている。
高齢者向け福祉業界の会社,訪問介護事業所「ケアセンターあかね」などを運営する。また、老人ホームやデイサービス事業所等の複合施設「咲楽パークス日高」の運営も手掛ける。その他、高齢者向け住宅の仲介や福祉用具の販売及びレンタルも行う。さらに、介護用リフォームにも対応。
タクシー業界の会社,札幌市と江別市にて、タクシーの運行を行う。
高齢者向け福祉業界の会社,訪問介護・療養を手がけるデイサービス事務所「訪問看護サボテン」の運営を行う。また、居宅介護支援を行う「ケアマネサボテン」や高齢者向け住宅「サボテン六高台」、生活介護の支援を行う「ケアラサボテン」の運営を手がける。
自動車部品・カー用品製造業界の会社,コイルスプリングを主力製品として精密自動車部品を製造し販売する。その他の部品においても、プレス加工技術ノウハウを生かし、金型設計から金型製作まで行う。加えてプレス量産加工も行っている。
水産物食品専門商社業界の会社,真昆布や利尻昆布をはじめとする昆布やわかめなど、食品の加工や製造および卸売を行う。西原商会グループの製造会社である。
保険代理店業界の会社,オリックスやソニー損保、また三井住友海上など様々な生命保険及び損害保険の各種商品を代理店として販売する。保険商品を選ぶ上でのファイナンシャルプランニング業務も行っている。
タクシー業界の会社,ハイヤーやタクシーにより乗客を目的地まで輸送している。通常運行業務に加えて、冠婚葬祭時やゴルフ場、空港への送迎なども行う。
化粧品販売業界の会社,宮崎県にて、メイクの相談および化粧品の販売を手がけている。
警備業界の会社,施設における常駐警備を請負っている。その他、工事現場における交通誘導やイベントにおける駐車場誘導などを請負う。
